ASIN,FBA_Cost_USD,NARF_Cost_USD
B07LC2GXZT,29.95,27.71
B07LC34HPV,29.95,27.71
B07LC3L4N7,29.95,27.71
B07LFBWC8L,55.73,59.06
B07LFC28NW,11.61,11.05
B07LFCDLDM,51.21,54.27
B07LFJDD77,53.47,56.71
B07LFJR8MN,54.6,57.91
B07LFKFV81,55.73,59.06
B07LFKHVQ7,55.73,59.06
B07LFKVSGY,55.73,59.06
B07LFL1C2V,55.73,59.06
B07LFL5CRF,55.73,59.06
B07LFLHQPZ,50.08,53.07
B07LFLL8XX,55.73,59.06
B07LFLNC6Z,53.47,56.67
B07LFM2WM5,62.51,66.26
B07LFMG84F,55.73,59.06
B07LFMHLD6,62.51,66.26
B07LFMHYZZ,55.73,59.06
B07LFMKC8N,62.51,66.26
B07LFMKRF3,62.51,66.26
B07LFMLWGN,62.51,66.26
B07LFMT2C2,62.51,66.26
B07LG5KWNG,60.25,63.86
B07LGD45LC,62.51,66.26
B07LGDDCB7,60.25,63.86
B07LGDLB6C,60.25,63.86
B07LGDNL6G,60.25,63.86
B07LGDR322,62.51,66.26
B07LGDY4SL,62.51,66.26
B07LGDYYYT,62.51,66.26
B07LGDZ4YW,62.51,66.26
B07LGF8KZ8,62.51,66.26
B07LGFJ1DP,62.51,66.26
B07LGFRCWV,60.25,63.86
B07LGFWJFC,62.51,66.26
B07LGG3MXG,60.25,63.86
B07LGGF2W2,60.25,63.86
B07LGHR61T,62.51,66.26
B07LGHTWBV,60.25,63.86
B07MS8VT2M,55.73,59.11
B07N2X9KTY,48.95,51.87
B07N66KFWC,47.82,50.67
B07N68MSH3,51.21,54.27
B07N6FY1Q9,45.56,48.27
B07N6HN434,53.47,56.67
B07N6HVMSK,50.08,53.07
B07NCLMZD7,53.47,56.67
B07NNP8BRS,47.82,50.67
B07NPGBNHC,59.12,62.66
B07PDHS3ZN,41.04,43.48
B07PDHS674,42.17,44.68
B07PDN41MF,48.95,51.87
B07PF93YMN,47.82,50.67
B07PFFKM11,44.43,47.07
B07PFFM9S3,42.17,44.68
B07PFFMKLZ,41.04,43.48
B07PGHFJMC,41.04,43.48
B07PGJ2M9B,42.17,44.68
B07PGK11WH,44.43,47.07
B07PGKWQDM,44.43,47.07
B07PGKYRZ9,43.3,45.88
B07PHKN9LW,51.21,54.27
B07PHL9T1D,43.3,45.88
B07PHLGYH6,43.3,45.88
B07PJ1JL89,52.34,55.47
B07PJPLKQW,44.43,47.07
B07PMRWBG5,57.99,61.51
B07PNT3L9P,54.6,57.87
B07PNT48N2,62.51,66.26
B07PVPYGS6,52.34,55.47
B07PWM6NV3,50.08,53.07
B07PXXQYR4,63.64,67.46
B07PYY6FH4,54.6,57.87
B07PZVTRXR,55.73,59.06
B07PZWLW96,43.3,46.05
