ASIN,FBA_Cost,NARF_Cost
B08VBH46G6,41.0875,31.5
B08VBWMWVH,41.0875,31.5
B08VC1QJZP,76.9217,67.64
B08VC67SHK,41.0875,31.5
B08WH6LKJG,76.9217,67.64
B08WM2NHDP,73.7803,64.86
B08WM2PM7Z,73.7803,64.86
B08WM2XG33,76.9217,67.64
B08WM4KX57,76.9217,67.64
B08XJG2PQY,28.2161,24.5361
B08XJG4QZ1,28.2161,24.5361
B08XJN7R4B,28.2161,24.5361
B08XK9XX2V,28.2161,24.5361
B092V1951Y,81.6338,71.81
B093S9LYLT,81.6338,71.81
B093WD15C7,81.6338,71.81
B09463GQN3,15.5949,12.04
B09466RLP5,15.5949,12.04
B095J18FXW,81.6338,71.81
B095J3RQK2,87.9166,77.37
B097NBT92M,65.9268,57.91
B097NF6N51,67.4975,59.3
B097TR3QYB,69.0682,60.69
B098S2LBZ3,78.4924,69.03
B099QTP382,65.9268,57.91
B09BFLQX29,78.4924,69.03
B09F5988Y7,61.2147,53.74
B09F5CD9JN,65.9268,57.91
B09F5FN5X1,153.886,135.75
B09F5FZGY7,72.2096,63.47
B09F5G481J,106.765,94.05
B09F5JMLVY,153.886,135.75
B09F5JP8BL,106.765,94.05
B09F5MCVQK,106.765,94.05
B09F5MJ6LM,153.886,135.75
B09F5MR6XC,153.886,135.75
B09F5RWSYD,70.6389,62.08
B09F5SCYM9,153.886,135.75
B09F5SDT2Y,67.4975,59.3
B09F5V7FFM,106.765,94.05
B09F5XNJ9R,106.765,94.05
B09F71WZ3X,103.6236,91.27
B09F72QC8R,103.6236,91.27
B09F73FN5W,103.6236,91.27
B09F73HXKP,103.6236,91.27
B09F74K6S1,103.6236,91.27
B09F9ZQ1KP,41.0875,31.5
B09FB1CZL1,153.886,135.75
B09FB1DLSV,153.886,135.75
B09FB21FQG,41.0875,31.5
B09FB3QQNR,153.886,135.75
B09FB41GR3,41.0875,31.5
B09FB59Y7L,41.0875,31.5
B09FBMQ65X,153.886,135.75
B09FTHLHY5,31.9691,24.5361
B09FTJ3R9Z,83.2045,73.2
B09FTJCFK7,75.351,66.25
B09FTKLJ9Z,41.0875,31.5
B09FTL82NM,78.4924,69.03
B09FTLMKKG,41.0875,31.5
B09FTM1NVM,41.0875,31.5
B09FTMRWXD,41.0875,31.5
B09FTMYT92,41.0875,31.5
B09FTN2TZ2,41.0875,31.5
B09FTND7L8,41.0875,31.5
B09FTNDNLJ,41.0875,31.5
B09FTNQVJQ,41.0875,31.5
B09FTNTG5S,41.0875,31.5
B09FTNXYSP,41.0875,31.5
B09FTPR5HJ,41.0875,31.5
B09FTPRZLD,41.0875,31.5
B09FTPXVH5,41.0875,31.5
B09FV6V9F7,41.0875,31.5
B09HZYVSRT,65.9268,57.91
B09HZZ1YHV,61.2147,53.74
B09HZZ9LWC,59.644,52.35
B09HZZL5CL,62.7854,55.13
B09HZZSPDL,59.644,52.35
B09HZZTMG2,62.7854,55.13
B09HZZYHZJ,62.7854,55.13
B09J11Z86G,65.9268,57.91
B09J1228JS,65.9268,57.91
B09J127K2F,59.644,52.35
B09J1284JW,61.2147,53.74
B09LLHRW42,61.2147,53.74
B09NDX2711,100.4822,88.49
B09NDX68JM,100.4822,88.49
B09NJQNCSM,41.0875,31.5
B09NL5WJVJ,102.0529,89.88
B09NL9MV3F,41.0875,31.5
B09NLCX8CK,41.0875,31.5
B09NLGM9CL,41.0875,31.5
B09NML7PGZ,53.3612,46.79
B09NMLTPXV,153.886,135.75
B09NMMGNP8,153.886,135.75
B09NMMKWT1,153.886,135.75
B09NMMTZTH,153.886,135.75
B09NMP1LFG,153.886,135.75
B09NMQ9N8B,78.4924,69.03
B09NMQYLN5,78.4924,69.03
B09NMRHWFJ,67.4975,59.3
B09NMS2STF,65.9268,57.91
B09NMS424P,76.9217,67.64
B09NMSFSRQ,69.0682,60.69
B09NMSJH52,91.058,80.15
B09NQJST3W,53.3612,46.79
B09NQJTYPL,50.2198,44.01
B09NQKBWV6,50.2198,44.01
B09NQKCNN7,53.3612,46.79
B09NQKV4ND,50.2198,44.01
B09NQM7SRB,53.3612,46.79
B09PV77ZN7,91.058,80.15
B09QKJLMBM,81.6338,71.81
B09QKJQ9Q1,72.2096,63.47
B09QKKCP2V,70.6389,62.08
B09QKKGLTX,70.6389,62.08
B09QKKZ7J7,65.9268,57.91
B09QKLDS5G,78.4924,69.03
B09QKLQM9Z,87.9166,77.37
B09SKY47NC,153.886,135.75
B0B15MDXCJ,22.8785,17.6
B0B15NQMZJ,22.8785,17.6
B0B15PXVYT,22.8785,17.6
B0B15QZ6V1,22.8785,17.6
B0B15RC3P9,22.8785,17.6
B0B15RPFPV,24.6994,18.99
B0B1668H68,22.8785,17.6
B0B169C4FV,24.6994,18.99
B0B16CPQ4M,22.8785,17.6
B0B16DCCR9,22.8785,17.6
B0B16FLJ2G,22.8785,17.6
B0B16HHVDX,24.6994,18.99
B0B16MCNR6,22.8785,17.6
B0B1JND6KT,84.7752,74.59
B0B1JPJJXP,87.9166,77.37
B0B1JPP785,95.7701,84.32
B0B1JPQ8VX,84.7752,74.59
B0B1JQNKVJ,87.9166,77.37
B0B1JR17R5,91.058,80.15
B0B1JRJMSW,91.058,80.15
B0B1JRMCR1,91.058,80.15
B0B1JRPBQ4,95.7701,84.32
B0B1JRZTRX,94.1994,82.93
B0B1JS285Q,94.1994,82.93
B0B1JS92RR,94.1994,82.93
B0B1KDPPWY,87.9166,77.37
B0B1VT2YXG,22.8785,17.6
B0B2FGX654,64.3561,56.52
B0B2LY72WD,78.4924,69.03
B0B2LZZY27,86.3459,75.98
B0B2M1295C,75.351,66.25
B0B2M74YH5,83.2045,73.2
B0B3V6N985,22.8785,17.6
B0B3V7MPZJ,22.8785,17.6
B0B3V7SPPZ,22.8785,17.6
B0B3W7KSJV,28.3412,21.77
B0B3W7S2QT,28.3412,21.77
B0B3W82CRT,28.3412,21.77
B0B3W8CB57,28.3412,21.77
B0B4D415SQ,22.8785,17.6
B0B4HFZVGK,22.8785,17.6
B0B4HG6D15,22.8785,17.6
B0B4HGLQTK,22.8785,17.6
B0B4HGXKX9,31.983,24.55
B0B4HH4JV8,31.983,24.55
B0B4HH7YT4,31.983,24.55
B0B4HHJ9D4,31.983,24.55
B0B4HHJW5T,31.983,24.55
B0B4HHN9N4,31.983,24.55
B0B4HHTXFH,31.983,24.55
B0B4HJ2Q3C,31.983,24.55
B0B4HJBHDJ,31.983,24.55
B0B4HJJRMR,31.983,24.55
B0B4HJSGM5,31.983,24.55
B0B4HNT4SG,31.983,24.55
B0B4PT9G11,41.0875,31.5
B0B55V5BN9,65.9268,57.91
B0B55WNYNR,69.0682,60.69
B0B562HR3V,69.0682,60.69
B0B5FHWF61,81.6338,71.81
B0B5FJTGBD,81.6338,71.81
B0B5P4S3CP,81.6338,71.81
B0B65VZCYL,42.3663,37.06
B0B67XYNNM,102.0529,89.88
B0B7B7H9GL,53.3612,46.79
B0B7BF82YB,53.3612,46.79
B0B7SLSJXJ,81.6338,71.81
B0B7SNX8QD,87.9166,77.37
B0B7SP14K9,86.3459,75.98
B0B7SPFMNR,81.6338,71.81
B0B7ZSTM8P,57.4756,44.01
B0B7ZTZXF7,57.4756,44.01
B0B7ZXFD5Z,57.4756,44.01
B0B7ZY5HWK,41.0875,31.5
B0B7ZYQ747,57.4756,44.01
B0B819BS8P,57.4756,44.01
B0B81XVB2H,34.4989,30.0961
B0B8C8Y9SZ,64.3561,56.52
B0B978VK2Z,28.3412,21.77
B0B9794WXN,28.3412,21.77
B0B979GMDK,28.3412,21.77
B0B97B7KPR,28.3412,21.77
B0B9B1NYNJ,22.8785,17.6
B0B9B21NWB,22.8785,17.6
B0B9B2D3VS,22.8785,17.6
B0B9B2DSHR,22.8785,17.6
B0B9B3KDF1,22.8785,17.6
B0B9B3YRCV,22.8785,17.6
B0B9C88Q47,28.3412,21.77
B0B9GXRQVY,28.3412,21.77
B0BB8MR6CT,65.9268,57.91
B0BB8PVS1X,69.0682,60.69
B0BBJQMM7S,86.3459,75.98
B0BBKGYPVG,86.3459,75.98
B0BBL4SDN2,87.9166,77.37
B0BBL6YGHC,81.6338,71.81
B0BCPTS14T,87.9166,77.37
B0BGH89GST,81.6338,71.81
B0BLNZKQXK,50.192,38.45
B0BLNZRYL7,50.192,38.45
B0BMVSX4C8,84.7752,74.59
B0BMVT7JZ2,59.644,52.35
B0BMVTQRJK,84.7752,74.59
B0BMVTX3MS,84.7752,74.59
B0BMVVCHQ2,84.7752,74.59
B0BMVW3KM2,84.7752,74.59
B0BMVW9SNF,84.7752,74.59
B0BMVWP737,84.7752,74.59
B0BMVWPYLT,84.7752,74.59
B0BMVWR5MJ,84.7752,74.59
B0BMVWSZZC,84.7752,74.59
B0BMVX2Q87,84.7752,74.59
B0BMVX5WL6,84.7752,74.59
B0BMVY6LZ5,84.7752,74.59
B0BMW7S7YB,84.7752,74.59
B0BMW7W629,84.7752,74.59
B0BN238SJN,86.3459,75.98
B0BN23H1FZ,83.2045,73.2
B0BN24BL3B,78.4924,69.03
B0BN24DHCM,78.4924,69.03
B0BN24Y9HS,83.2045,73.2
B0BN255595,75.351,66.25
B0BN255CSR,75.351,66.25
B0BN5LX883,56.5026,49.57
B0BN5MJN4M,61.2147,53.74
B0BN5MLV5X,58.0733,50.96
B0BN5N4VLR,59.644,52.35
B0BN8R6FDH,44.7293,34.28
B0BSLNLVN4,41.0875,31.5
B0BSLNS1KC,41.0875,31.5
B0BSLPTKCD,41.0875,31.5
B0BSLQQZ3K,41.0875,31.5
B0BSLRL7G4,44.7293,34.28
B0BVXQQGXR,24.6994,18.99
B0BVXXBZ1P,24.6994,18.99
B0BVXYGH74,28.3412,21.77
B0BVY2Y7K5,24.6994,18.99
B0BVY32GYQ,28.3412,21.77
B0BVY47L52,24.6994,18.99
B0BVY5G8RQ,24.6994,18.99
B0BVY5K1T2,24.6994,18.99
B0BVY5NWTH,24.6994,18.99
B0BVY9TRVT,24.6994,18.99
B0BVYCHHNL,24.6994,18.99
B0BVYD24D7,24.6994,18.99
B0BVYDF13C,24.6994,18.99
B0BVYNFV7G,22.8785,17.6
B0BVYNVY7V,28.3412,21.77
B0BVYP3GRS,24.6994,18.99
B0BVYS9P3L,24.6994,18.99
B0BVYV49GR,28.3412,21.77
B0BWC2WTZ9,28.3412,21.77
B0BWCFLVSM,28.3412,21.77
B0BWCQJMMZ,28.3412,21.77
B0BXVX8NWD,83.2045,73.2
B0BXVZ45JH,83.2045,73.2
B0BXVZGQM8,83.2045,73.2
B0BXW1W9TF,83.2045,73.2
B0BXW2NMHC,83.2045,73.2
B0BXW331KR,83.2045,73.2
B0BXW46F3D,83.2045,73.2
B0BXW4NY34,83.2045,73.2
B0BXW4Y949,44.7293,34.28
B0BXW67CRK,44.7293,34.28
B0BXW6VHP5,44.7293,34.28
B0BYY7GJNX,41.0875,31.5
B0BYY8HTN3,41.0875,31.5
B0BYY9M968,41.0875,31.5
B0BYY9NZV6,41.0875,31.5
B0BYY9TSKJ,44.7293,34.28
B0BYYBCVHL,41.0875,31.5
B0C22BW4L1,31.9691,24.5361
B0C22TR1VR,31.9691,24.5361
B0C9DWCN4B,22.8785,17.6
B0C9DXKB87,22.8785,17.6
B0C9DYZ55K,22.8785,17.6
B0C9F1YV9H,22.8785,17.6
B0CBQ5WCGQ,44.7293,34.28
B0CCPLJZWM,31.9691,24.5361
B0CFFVH9JD,22.8785,17.6
B0CFFXWS9Q,22.8785,17.6
B0CFFYF814,24.6994,18.99
B0CFFYKHXG,24.6994,18.99
B0CFFZ3CND,24.6994,18.99
B0CFFZ3GRH,24.6994,18.99
B0CFFZV484,22.8785,17.6
B0CFFZXYN3,22.8785,17.6
B0CFG11XM6,24.6994,18.99
B0CFG131N9,22.8785,17.6
B0CFG23W94,22.8785,17.6
B0CFRFZYZX,22.8785,17.6
B0CG9VGPB7,44.7293,34.28
B0CG9W233T,44.7293,34.28
B0CG9W26B7,44.7293,34.28
B0CG9W4BBN,44.7293,34.28
B0CG9WV6MM,44.7293,34.28
B0CG9Z45BG,44.7293,34.28
B0CHWHF2HS,41.0875,31.5
B0CHWJP4CK,41.0875,31.5
B0CHWKKQ5N,41.0875,31.5
B0CHWKN4YM,41.0875,31.5
B0CHWKTBNP,41.0875,31.5
B0CHWL18LW,41.0875,31.5
B0CHWLHBKZ,41.0875,31.5
B0CHWLM7BB,41.0875,31.5
B0CHWLWJ6Q,41.0875,31.5
B0CHWLYG96,41.0875,31.5
B0CHWMB41K,41.0875,31.5
B0CHWMJFM2,41.0875,31.5
B0CHWMM1N8,41.0875,31.5
B0CHWMP1ZS,41.0875,31.5
B0CHWMWHYG,41.0875,31.5
B0CHWNG5HR,41.0875,31.5
B0CHWNQQ8X,41.0875,31.5
B0CHWP137W,41.0875,31.5
B0CHWP6DTS,41.0875,31.5
B0CHWTGVNB,41.0875,31.5
B0CJ5KZ44C,41.0875,31.5
B0CJ5LFZ7S,41.0875,31.5
B0CJ5MG9ZQ,41.0875,31.5
B0CKLRQ6RT,44.7293,34.28
B0CKLSJYMP,44.7293,34.28
B0CKLTSB1N,44.7293,34.28
B0CKLVWT1V,44.7293,34.28
B0CKWCVJM3,22.8785,17.6
B0CKWDPK9R,28.3412,21.77
B0CKWDRBTM,22.8785,17.6
B0CKWDV9H1,22.8785,17.6
B0CKWDZRSK,28.3412,21.77
B0CKWF5HWP,22.8785,17.6
B0CKWFB5KM,28.3412,21.77
B0CKWFF9FL,28.3412,21.77
B0CKWFW5Z7,28.3412,21.77
B0CKWG12R5,22.8785,17.6
B0CKWG6ZK8,28.3412,21.77
B0CKWGCH94,22.8785,17.6
B0CKWGGJN8,28.3412,21.77
B0CKWGQRWX,28.3412,21.77
B0CKWGSL2L,24.6994,18.99
B0CKWHKCNL,28.3412,21.77
B0CKWHMXKZ,28.3412,21.77
B0CKWHWQ5X,22.8785,17.6
B0CKWHXMQ3,22.8785,17.6
B0CKWJSZGB,22.8785,17.6
B0CKWKQWQT,22.8785,17.6
B0CLVS839N,28.3412,21.77
B0CNRXJGWR,64.3561,56.52
B0CNRXPYZ3,64.3561,56.52
B0CNRXRMZ9,64.3561,56.52
B0CNRYMZ3N,64.3561,56.52
B0CNS17GD2,64.3561,56.52
B0CQ2VKBXF,91.058,80.15
B0CQ2XJC3N,117.7599,103.78
B0CQ2Y79VM,117.7599,103.78
B0CQ2YD664,91.058,80.15
B0CQ2YN44Y,116.1892,102.39
B0CQ2ZC5VX,116.1892,102.39
B0CQTMDDWN,75.351,66.25
B0CQTMTFH8,78.4924,69.03
B0CR1PV514,86.3459,75.98
B0CR1QM7W1,24.6994,18.99
B0CR1RDQY8,28.3412,21.77
B0CR1RTVGG,22.8785,17.6
B0CR1SPXZ8,22.8785,17.6
B0CR4B3TBT,28.3412,21.77
B0CR4BD3BW,24.6994,18.99
B0CSDMX8JK,54.9319,48.18
B0CSG4W6FB,31.9691,24.5361
B0CSG6W55D,41.0875,31.5
B0CSG91FBL,31.9691,24.5361
B0CSG9LRKQ,31.9691,24.5361
B0CST5CMLG,41.0875,31.5
B0CST5PYXR,44.7293,34.28
B0CST5Q4RZ,41.0875,31.5
B0CST5R2F8,41.0875,31.5
B0CST67SQT,41.0875,31.5
B0CST6C9J8,44.7293,34.28
B0CST6K3ND,41.0875,31.5
B0CST6VP7J,41.0875,31.5
B0CST6XYVJ,41.0875,31.5
B0CST7SZ3J,41.0875,31.5
B0CTLKMD8M,41.0875,31.5
B0CTLNDMHG,41.0875,31.5
B0CTLPPFZZ,41.0875,31.5
B0CTLQ17TW,41.0875,31.5
B0CTLRCHCQ,41.0875,31.5
B0CTLRCT2W,41.0875,31.5
B0CTM1Z625,41.0875,31.5
B0CV4FLX25,103.6236,91.27
B0CV4GC1CP,103.6236,91.27
B0CV4GLHLG,103.6236,91.27
B0CV4GVMM7,103.6236,91.27
B0CVQR9DY8,75.351,66.25
B0CVS5X1ND,70.6389,62.08
B0CVS7JNKW,73.7803,64.86
B0CZ4CFF8Z,41.0875,31.5
B0CZ4D4YM7,44.7293,34.28
B0CZ4DXPWL,41.0875,31.5
B0CZ4DYY36,41.0875,31.5
B0CZ4F476B,41.0875,31.5
B0CZ4F4SM2,41.0875,31.5
B0CZ4F6HN9,41.0875,31.5
B0CZ4F8L3V,44.7293,34.28
B0CZ4FD19Z,41.0875,31.5
B0CZ4FF1V1,41.0875,31.5
B0CZ4FG3CQ,41.0875,31.5
B0CZ4FMTVJ,44.7293,34.28
B0CZ4FSF8D,41.0875,31.5
B0CZ4G15RN,41.0875,31.5
B0CZ4G76MZ,41.0875,31.5
B0CZ4G93CP,44.7293,34.28
B0CZ4G99MG,41.0875,31.5
B0CZ4GHWFW,41.0875,31.5
B0CZ4GMFV8,41.0875,31.5
B0CZ4GSVRD,44.7293,34.28
B0CZ4GV2D1,41.0875,31.5
B0CZ78SZS6,41.0875,31.5
B0CZ78WVW5,41.0875,31.5
B0CZ78ZWFN,41.0875,31.5
B0CZ7B377Z,41.0875,31.5
B0CZ7BDHHD,44.7293,34.28
B0D1YGLTN4,10.9384,9.2461
B0D1YL3TC6,80.0631,70.42
B0D1YN7N7V,76.9217,67.64
B0D6W7G2MG,62.7854,55.13
B0D6W8YTBM,59.644,52.35
B0D6W9122B,62.7854,55.13
B0D6W96J4Q,59.644,52.35
B0D6W99XDJ,61.2147,53.74
B0D6W9FSRP,61.2147,53.74
B0D6WB519R,59.644,52.35
B0D6WBC1PN,64.3561,56.52
B0D6WBKZWG,61.2147,53.74
B0D6WBR9ZP,64.3561,56.52
B0D6WDD8VP,64.3561,56.52
B0D6WDW4PV,58.0733,50.96
B0D6WFSVC7,62.7854,55.13
B0D8JHPF5C,41.0875,31.5
B0D8JHWP8B,41.0875,31.5
B0D8JK5D4B,41.0875,31.5
B0D8JMBFGJ,41.0875,31.5
B0D9NSWQ74,30.1482,23.1461
B0DK9ML92T,14.7053,12.5821
B0DK9N3WFJ,14.7053,12.5821
B0DK9P2TCS,14.7053,12.5821
B0DK9PGMHD,14.7053,12.5821
B0DK9PKDX7,14.7053,12.5821
B0DK9PKHKN,14.7053,12.5821
B0DK9PN67Z,14.7053,12.5821
B0DK9PQ3VZ,14.7053,12.5821
B0DK9PVWTP,14.7053,12.5821
B0DK9Q4DSG,14.7053,12.5821
B0DK9QKGXY,14.7053,12.5821
B0DK9QSLMS,14.7053,12.5821
B0DNMR3VFZ,44.7293,34.28
B0DNMX58D4,44.7293,34.28
B0DNMX66YX,41.0875,31.5
B0DNMXTY8T,41.0875,31.5
B0DNMYBBPV,41.0875,31.5
B0DNMYK18N,41.0875,31.5
B0DP4YDLQT,30.1482,23.1461
B0DQDQGRWZ,31.983,24.55
B0DQDQRZHF,31.983,24.55
B0DQDQS6C3,31.983,24.55
B0DQDTCQRT,31.983,24.55
B0DXFF51P3,62.9383,48.18
B0DXFF938K,75.6846,57.91
B0DXFFMMLZ,75.6846,57.91
B0DXFFN4X5,70.2219,53.74
B0DXFG9LYF,68.401,52.35
B0DXFG9LYJ,62.9383,48.18
B0DXFGXBVN,70.2219,53.74
B0DXFH5M24,68.401,52.35
B0DXFH5VT1,62.9383,48.18
B0DXFHB4N4,70.2219,53.74
B0DXFHGF2B,70.2219,53.74
B0DXFJD3VT,70.2219,53.74
B0DXFJKG4P,75.6846,57.91
B0DXFJT4PJ,75.6846,57.91
B0DXFJY6ST,70.2219,53.74
B0DXFNGH4Z,83.2045,73.2
B0DXFR4T1W,153.886,135.75
B0DXFSMGDX,83.2045,73.2
B0DXFTM992,153.886,135.75
B0FD41Q4B3,54.9319,48.18
B0FD42117M,50.2198,44.01
B0FD4221RM,53.3612,46.79
B0FD42DWR4,56.5026,49.57
B0FKTHVKG7,89.4873,78.76
B0FKTKRTCD,89.4873,78.76
B0FKTKXDLX,120.9013,106.56
B0FKTMWC1P,120.9013,106.56
B0FMS2F3M4,73.7803,64.86
B0FMS2KNRW,73.7803,64.86
B0FMS2PBLM,70.6389,62.08
B0FMS2VTGK,70.6389,62.08
B0FMS3PG8S,73.7803,64.86
B0FMS3WS4Q,70.6389,62.08
B0FMS3X5HH,75.351,66.25
B0FMS44R5C,70.6389,62.08
B0FMS4FXHP,70.6389,62.08
B0FMS4GRSM,70.6389,62.08
B0FMS4QHXJ,70.6389,62.08
B0FMS4XSS1,70.6389,62.08
B0FMS52L55,70.6389,62.08
B0FMS5543Y,75.351,66.25
B0FMS5JZZC,70.6389,62.08
B0FMS5P815,70.6389,62.08
B0FMS5P81D,70.6389,62.08
B0FMS6DP6C,73.7803,64.86
B0FMS77H71,75.351,66.25
B0FMS79RGV,75.351,66.25
B0FNRK89HS,75.351,66.25
B0FNRM6D7M,73.7803,64.86
B0FNRMBFWF,70.6389,62.08
B0FNRPCVQL,70.6389,62.08
B0FNRPLZTX,70.6389,62.08
B0FP2RYCMQ,251.2694,221.93
B0FP2S3QKW,251.2694,221.93
B0FP2T42F5,251.2694,221.93
B0FP2TNCB1,251.2694,221.93
B0FPD4BJMR,76.9217,67.64
B0FR5BJGNQ,251.2694,221.93
B0FR5GCL7G,251.2694,221.93
B0FTGCP6TL,12.5091,10.6361
B0FV8LZ6NV,44.7293,34.28
B0FV8MYW52,41.0875,31.5
B0FV8N5SSJ,41.0875,31.5
B0FV8NFWCS,41.0875,31.5
B0FV8PW18G,41.0875,31.5
